代號,名稱,發行量(股),股價,日期,112季,dividend_per_share,dividend_yield
2330,台積電,25940000,966.0,2024-06-28,291721852.0,11.2,1.16%
2317,鴻海,13860000,214.0,2024-06-28,80721555.0,5.8,2.71%
2454,聯發科,1599000,1400.0,2024-06-28,120981171.0,75.7,5.41%
2382,廣達,3863000,312.0,2024-06-28,23764557.0,6.2,1.99%
2412,中華電,7757000,125.5,2024-06-28,36475514.0,4.7,3.75%
2308,台達電,2598000,387.5,2024-06-28,25559802.0,9.8,2.53%
3711,日月光投控,4395000,168.5,2024-06-28,37840609.0,8.6,5.1%
2303,聯電,12530000,55.7,2024-06-28,45014783.0,3.6,6.46%
6505,台塑化,9526000,64.8,2024-06-28,10479310.0,1.1,1.7%
6669,緯穎,174800,2645.0,2024-06-28,8742040.0,50.0,1.89%
1216,統一,5682000,81.3,2024-06-28,17898349.0,3.2,3.94%
1303,南亞,7931000,49.3,2024-06-28,23833140.0,3.0,6.09%
3045,台灣大,3723000,107.0,2024-06-28,13966853.0,3.8,3.55%
1301,台塑,6366000,57.5,2024-06-28,26745324.0,4.2,7.3%
1301,台塑,6366000,57.5,2024-06-28,26745324.0,4.2,7.3%
3034,聯詠,608500,606.0,2024-06-28,22514924.0,37.0,6.11%
2357,華碩,742800,498.0,2024-06-28,11141404.0,15.0,3.01%
2002,中鋼,15730000,23.1,2024-06-28,15759055.0,1.0,4.33%
3008,大立光,133500,2745.0,2024-06-28,9676444.0,72.5,2.64%
3231,緯創,2897000,106.0,2024-06-28,7400801.0,2.6,2.45%
2345,智邦,560600,555.0,2024-06-28,4184543.0,7.5,1.35%
2395,研華,860400,370.0,2024-06-28,7779770.0,9.0,2.43%
4904,遠傳,3606000,84.1,2024-06-28,10671112.0,3.0,3.57%
4938,和碩,2664000,104.5,2024-06-28,13487770.0,5.1,4.88%
1326,台化,5861000,50.4,2024-06-28,,,nan%
1326,台化,5861000,50.4,2024-06-28,5587309.0,1.0,1.98%
2327,國巨,423200,730.0,2024-06-28,4178580.0,9.9,1.36%
2327,國巨,423200,730.0,2024-06-28,4178580.0,9.9,1.36%
2379,瑞昱,512900,546.0,2024-06-28,13847319.0,27.0,4.95%
8069,元太,1144000,252.0,2024-06-28,5131821.0,4.5,1.79%
2912,統一超,1040000,273.5,2024-06-28,10590115.0,10.2,3.73%
3017,奇鋐,383300,765.0,2024-06-28,1914941.0,5.0,0.65%
3037,欣興,1525000,180.0,2024-06-28,12190426.0,8.0,4.44%
1101,台泥,7551000,34.2,2024-06-28,4061436.0,0.5,1.46%
6488,環球晶,478100,539.0,2024-06-28,6963792.0,14.6,2.71%
2301,光寶科,2348000,106.0,2024-06-28,11519737.0,4.9,4.62%
1519,華城,261100,945.0,2024-06-28,652646.0,2.5,0.26%
3661,世芯-KY,79200,2455.0,2024-06-28,930917.0,11.8,0.48%
1590,亞德客-KY,200000,988.0,2024-06-28,2687810.0,13.4,1.36%
3443,創意,134000,1605.0,2024-06-28,1876167.0,14.0,0.87%
6415,矽力*-KY,385000,462.0,2024-06-28,1721681.0,4.5,0.97%
3529,力旺,74700,2570.0,2024-06-28,1529693.0,20.5,0.8%
2376,技嘉,635700,305.5,2024-06-28,3941271.0,6.2,2.03%
2356,英業達,3588000,55.8,2024-06-28,5381213.0,1.5,2.69%
3533,嘉澤,111900,1630.0,2024-06-28,2803575.0,25.1,1.54%
2618,長榮航,5400000,38.15,2024-06-28,4290310.0,0.8,2.1%
1402,遠東新,5353000,35.25,2024-06-28,14306261.0,2.7,7.66%
5347,世界,1639000,129.5,2024-06-28,7375420.0,4.5,3.47%
5274,信驊,37800,4840.0,2024-06-28,1701931.0,45.0,0.93%
3293,鈊象,140900,1355.0,2024-06-28,4931527.0,35.0,2.58%
2105,正新,3241000,49.45,2024-06-28,4555915.0,1.4,2.83%
2383,台光電,344300,475.0,2024-06-28,2829806.0,8.2,1.73%
6409,旭隼,87700,1925.0,2024-06-28,3817672.0,43.5,2.26%
9910,豐泰,987500,155.0,2024-06-28,6788944.0,6.9,4.45%
2324,仁寶,4407000,34.7,2024-06-28,5228555.0,1.2,3.46%
2474,可成,680400,232.0,2024-06-28,6803641.0,10.0,4.31%
3653,健策,142900,1200.0,2024-06-28,1661793.0,11.6,0.97%
2353,宏碁,3048000,46.85,2024-06-28,4501662.0,1.5,3.2%
2377,微星,844900,178.0,2024-06-28,5575711.0,6.6,3.71%
1605,華新,4031000,35.5,2024-06-28,6716022.0,1.7,4.79%
1102,亞泥,3547000,43.85,2024-06-28,8155562.0,2.3,5.25%
1476,儒鴻,274400,529.0,2024-06-28,4664241.0,17.0,3.21%
2385,群光,760100,171.0,2024-06-28,5420175.0,7.1,4.15%
3702,大聯大,1679000,89.8,2024-06-28,6864369.0,4.1,4.57%
6239,力成,759100,188.0,2024-06-28,5231426.0,6.9,3.67%
1503,士電,521000,296.5,2024-06-28,1041944.0,2.0,0.67%
9945,潤泰新,2844000,43.6,2024-06-28,0.0,0.0,0.0%
8299,群聯,204800,617.0,2024-06-28,2836702.0,13.9,2.25%
3036,文曄,1116000,124.0,2024-06-28,4082065.0,3.7,2.98%
8046,南電,646200,186.0,2024-06-28,11630978.0,18.0,9.68%
1504,東元,2139000,53.5,2024-06-28,3208195.0,1.5,2.8%
2360,致茂,425400,318.0,2024-06-28,3403176.0,8.0,2.52%
4958,臻鼎-KY,947000,129.5,2024-06-28,5682295.0,6.0,4.63%
2059,川湖,95300,1240.0,2024-06-28,1905941.0,20.0,1.61%
3044,健鼎,525600,218.5,2024-06-28,3915764.0,7.5,3.43%
8454,富邦媒,240300,429.5,2024-06-28,3278331.0,13.6,3.17%
6176,瑞儀,465000,189.5,2024-06-28,4650273.0,10.0,5.28%
2542,興富發,1884000,52.1,2024-06-28,1057848.0,0.6,1.15%
2354,鴻準,1414000,71.3,2024-06-28,2263176.0,1.6,2.24%
1513,中興電,503100,188.0,2024-06-28,1667144.0,3.3,1.76%
9958,世紀鋼,256900,302.0,2024-06-28,116626.0,0.5,0.17%
2027,大成鋼,2434000,35.9,2024-06-28,4287813.0,1.8,5.01%
9941,裕融,548200,149.5,2024-06-28,2990964.0,5.5,3.68%
3035,智原,260600,336.0,2024-06-28,1242752.0,4.8,1.43%
2540,愛山林,416599,187.0,2024-06-28,,,nan%
6472,保瑞,101600,829.0,2024-06-28,619134.0,6.1,0.74%
6121,新普,185000,427.5,2024-06-28,5105186.0,27.6,6.46%
2915,潤泰全,1104000,68.2,2024-06-28,2168385.0,2.0,2.93%
6285,啟碁,485300,161.0,2024-06-28,2024042.0,4.2,2.61%
2352,佳世達,1967000,38.4,2024-06-28,3933564.0,2.0,5.21%
2049,上銀,353800,213.0,2024-06-28,1945857.0,5.5,2.58%
2201,裕隆,1070000,66.8,2024-06-28,2995114.0,2.8,4.19%
3324,雙鴻,90900,807.0,2024-06-28,577375.0,6.4,0.79%
4763,材料-KY,86300,891.0,2024-06-28,997472.0,11.6,1.3%
3406,玉晶光,112700,662.0,2024-06-28,1360405.0,12.1,1.83%
3406,玉晶光,112700,662.0,2024-06-28,1360405.0,12.1,1.83%
4966,譜瑞-KY,81199,838.0,2024-06-28,2439014.0,30.0,3.58%
9914,美利達,299000,216.5,2024-06-28,2094202.0,7.0,3.23%
2204,中華,553600,124.0,2024-06-28,2214481.0,4.0,3.23%
3023,信邦,240000,292.0,2024-06-28,2030999.0,8.5,2.91%
1319,東陽,591500,108.0,2024-06-28,1478693.0,2.5,2.31%
3005,神基,611800,114.0,2024-06-28,2294771.0,3.8,3.33%
5522,遠雄,781600,80.5,2024-06-28,3126385.0,4.0,4.97%
2404,漢唐,190600,366.0,2024-06-28,2813801.0,14.8,4.04%
1722,台肥,980000,64.3,2024-06-28,2450000.0,2.5,3.89%
6592,和潤企業,566500,112.5,2024-06-28,,,nan%
2211,長榮鋼,417100,139.5,2024-06-28,2085457.0,5.0,3.58%
2206,三陽工業,797500,78.9,2024-06-28,1435481.0,1.8,2.28%
6531,愛普*,162200,386.5,2024-06-28,1132442.0,7.0,1.81%
2492,華新科,485800,118.0,2024-06-28,1165922.0,2.4,2.03%
2504,國產,1180000,43.1,2024-06-28,2360000.0,2.0,4.64%
6412,群電,399000,136.5,2024-06-28,2354337.0,5.9,4.32%
3706,神達,1207000,44.3,2024-06-28,1562129.0,1.3,2.93%
5434,崇越,188700,275.0,2024-06-28,1816996.0,9.6,3.49%
6781,AES-KY,85399,631.0,2024-06-28,1622920.0,19.0,3.01%
6005,群益證,2171000,25.1,2024-06-28,1122599.0,0.5,1.99%
2637,慧洋-KY,746400,68.0,2024-06-28,4851660.0,6.5,9.56%
1808,潤隆,451000,112.5,2024-06-28,270616.0,0.6,0.53%
2451,創見,429099,115.0,2024-06-28,2402745.0,5.6,4.87%
4919,新唐,419799,128.0,2024-06-28,2938357.0,7.0,5.47%
2548,華固,276800,136.5,2024-06-28,2076095.0,7.5,5.49%
1210,大成,894800,57.2,2024-06-28,1268561.0,1.4,2.45%
6147,頎邦,744700,67.1,2024-06-28,4062715.0,5.5,8.2%
4915,致伸,462900,94.2,2024-06-28,1791794.0,3.9,4.14%
6223,旺矽,94200,530.0,2024-06-28,659618.0,7.0,1.32%
2006,東和鋼鐵,730200,69.6,2024-06-28,2555748.0,3.5,5.03%
3376,新日興,187700,245.0,2024-06-28,1126490.0,6.0,2.45%
2634,漢翔,941900,53.4,2024-06-28,1017216.0,1.1,2.06%
1907,永豐餘,1660000,30.75,2024-06-28,,,nan%
2606,裕民,845100,55.8,2024-06-28,2535220.0,3.0,5.38%
6274,台燿,272000,162.5,2024-06-28,1076608.0,4.0,2.46%
6414,樺漢,137000,335.5,2024-06-28,1604720.0,11.7,3.49%
8996,高力,89800,482.0,2024-06-28,134076.0,1.5,0.31%
8112,至上,520100,81.8,2024-06-28,1922948.0,3.7,4.52%
2363,矽統,749599,56.5,2024-06-28,749589.0,1.0,1.77%
2392,正崴,512299,79.0,2024-06-28,1127119.0,2.2,2.78%
1609,大亞,736800,55.8,2024-06-28,339205.0,0.5,0.9%
9933,中鼎,809200,53.0,2024-06-28,2267317.0,2.8,5.28%
6605,帝寶,165799,238.5,2024-06-28,829082.0,5.0,2.1%
2501,國建,1160000,30.2,2024-06-28,579781.0,0.5,1.66%
6257,矽格,464600,76.8,2024-06-28,1918312.0,4.1,5.34%
3131,弘塑,29200,1355.0,2024-06-28,517680.0,17.7,1.31%
3042,晶技,309800,115.0,2024-06-28,2168299.0,7.0,6.09%
8210,勤誠,120600,301.0,2024-06-28,482528.0,4.0,1.33%
3264,欣銓,490200,68.5,2024-06-28,1658717.0,3.4,4.96%
6491,晶碩,78000,479.0,2024-06-28,707500.0,9.1,1.9%
3596,智易,220400,162.0,2024-06-28,1432299.0,6.5,4.01%
2362,藍天,632300,53.5,2024-06-28,877824.0,1.4,2.62%
8070,長華*,689400,45.35,2024-06-28,1666711.0,2.4,5.29%
6515,穎崴,34800,1050.0,2024-06-28,754468.0,21.7,2.07%
8926,台汽電,730300,47.9,2024-06-28,618501.0,0.8,1.67%
6214,精誠,272300,124.5,2024-06-28,1361517.0,5.0,4.02%
5534,長虹,290300,109.5,2024-06-28,1596793.0,5.5,5.02%
6278,台表科,292400,120.0,2024-06-28,2046788.0,7.0,5.83%
8016,矽創,120100,258.5,2024-06-28,2629679.0,21.9,8.47%
2329,華泰,560300,58.9,2024-06-28,625165.0,1.1,1.87%
3010,華立,250799,142.0,2024-06-28,1439709.0,5.7,4.01%
3260,威剛,295900,108.0,2024-06-28,526931.0,1.8,1.67%
6191,精成科,474300,74.3,2024-06-28,1233188.0,2.6,3.5%
