,length_fast,length_slow,return,drawdown,sharp
116,7,56,1.3859755403953689,4.237844033370472,0.0910420730446308
76,6,56,1.3859755403953689,4.237844033370472,0.0910420730446308
119,7,59,1.2651867841940503,4.387107920646658,0.058588390301030586
79,6,59,1.2269079681958428,4.387107920646658,0.05035419664886513
62,6,42,1.2251140872052404,4.811385786730244,0.04694675113693263
118,7,58,1.1930974950586573,4.3632102512281055,0.0403097253718037
159,8,59,1.1876769969312975,4.387107920646658,0.03910062449831118
117,7,57,1.1785050920928684,4.282007513614952,0.03668551983225652
276,11,56,1.139369861607775,4.592286214190542,0.02703552043626376
439,15,59,1.10949233995697,4.636640954393552,0.018775664530479998
39,5,59,1.0916328095075796,4.376101451216187,0.013644953591357532
63,6,43,1.076097379180573,4.871063216752776,0.014556122364881399
438,15,58,1.0427251050850954,4.6054049159577986,0.0019248440608024405
436,15,56,1.038904119138748,4.44154190777241,0.0004681355274605941
437,15,57,1.013837258747201,4.49926687426228,-0.005793692647472174
399,14,59,1.0101516097220946,4.775687523692343,-0.005928313010633811
36,5,56,1.0079013926450573,4.237844033370472,-0.007767589513965361
78,6,58,1.0053694534141546,4.3632102512281055,-0.008401231963776845
74,6,54,1.0020009234844296,4.212217025146029,-0.005725835670320451
476,16,56,0.9928401332387563,4.44154190777241,-0.012081388475504556
37,5,57,0.9908041214966863,4.282007513614952,-0.01203043801209789
77,6,57,0.9908041214966863,4.282007513614952,-0.01203043801209789
75,6,55,0.9899640360648377,4.235962197962284,-0.008490571723615298
156,8,56,0.9680412626982278,4.865373076658272,-0.014976764166252656
477,16,57,0.9677847009155841,4.49926687426228,-0.018341812083666392
478,16,58,0.9676868353013157,4.6054049159577986,-0.018366107051021874
64,6,44,0.947744185962694,4.868424460852712,-0.012019690772833845
73,6,53,0.9403983756517017,4.222138050554327,-0.019567545280305635
199,9,59,0.9314789652821999,5.050517828138807,-0.024393780337555973
65,6,45,0.9192451656999225,4.70463058676955,-0.017729092697438924
97,7,37,0.9128451894779612,4.906373662469808,-0.016275183625577824
99,7,39,0.9035396557243938,4.935464545176913,-0.017843836017726954
457,16,37,0.9032931473955699,4.665539836447013,-0.028820492815720283
274,11,54,0.8954611526809381,4.5607981767774355,-0.029240270796822333
239,10,59,0.887270960798412,5.050517828138807,-0.03614525248769656
275,11,55,0.8802203550716253,4.58997399330156,-0.032549234180859477
38,5,58,0.8691779357850318,4.367658664228422,-0.04131377400867093
313,12,53,0.8681695403250131,4.493742613514927,-0.03600651476322241
352,13,52,0.8484146023704037,4.448051191906008,-0.03955227890064531
377,14,37,0.8349134854492198,4.665539836447013,-0.047228279532042304
34,5,54,0.8316292864611068,4.212217025146029,-0.050874720209875185
238,10,58,0.819796968736084,5.020875507104569,-0.05159342339457213
237,10,57,0.8169986776970702,4.920152814233003,-0.05222322666023721
398,14,58,0.8143500704833013,4.6054049159577986,-0.06246393574997119
277,11,57,0.8080633003251094,4.64655011054748,-0.0617551465301347
35,5,55,0.8026128367879568,4.235962197962284,-0.05779131652994315
396,14,56,0.7997009841532555,4.44154190777241,-0.06826366205676075
30,5,50,0.797770125925913,4.577812795173057,-0.04800838466433481
272,11,52,0.7945774359974102,4.304197075839867,-0.05063215270186809
383,14,43,0.7768521674178018,4.876305172724317,-0.06144358246722441
397,14,57,0.7746934679484128,4.49926687426228,-0.07449363063566226
516,17,56,0.7744646340201585,4.861015706471767,-0.062292192528198474
345,13,45,0.770634171315472,4.667991899429163,-0.05697795451397133
72,6,52,0.7550825721079195,4.156566483772854,-0.06565430200026502
158,8,58,0.7533896953023332,5.020875507104569,-0.06213302380038226
359,13,59,0.7507347690792527,4.775687523692343,-0.07937154450188115
157,8,57,0.7505932474219359,4.920152814233003,-0.06271996554429926
351,13,51,0.7469664803107925,4.7223786701066075,-0.06074522700020997
98,7,38,0.7463078260149535,4.938522277003664,-0.046929653281231914
416,15,36,0.7405551722991651,4.5074628239721,-0.06573823004119274
262,11,42,0.7356831366033079,4.7958210844034195,-0.06820811307612265
67,6,47,0.7356592122119419,4.669078775421571,-0.052827980996588496
196,9,56,0.7342647646656552,4.865373076658272,-0.06809696009164119
102,7,42,0.7255766391175692,5.31736478659402,-0.05726550420762586
154,8,54,0.724773031301088,4.83358570896011,-0.06858516306053027
69,6,49,0.7247656278279083,4.6995774328650874,-0.0548348944279849
417,15,37,0.7168391363456779,4.665539836447013,-0.07953513120201733
343,13,43,0.7143372414316592,5.3192379895153605,-0.06512683269575441
31,5,51,0.7138977037708814,4.434235107193345,-0.0646593122526484
198,9,58,0.71363954480572,5.020875507104569,-0.0724450328245494
197,9,57,0.7108442002055647,4.920152814233003,-0.07303115331024003
155,8,55,0.7093474452099121,4.863038875430235,-0.0717850731055919
475,16,55,0.7052524451307726,4.43908220837198,-0.08106569234240127
384,14,44,0.7027569721585403,4.87300240764137,-0.07465032496834292
350,13,50,0.7019870260436147,4.665120099209511,-0.07083532076483898
137,8,37,0.6939266930059066,5.45111209996936,-0.06273770700698472
236,10,56,0.6901431400343541,4.865373076658272,-0.07978140224137235
194,9,54,0.6876086597148509,4.83358570896011,-0.07826143522183455
358,13,58,0.6831393923838421,4.746324333805068,-0.09545669362366813
479,16,59,0.6739877694888654,4.636640954393552,-0.1116634053323572
222,10,42,0.6737555513413961,5.047772273409548,-0.07749088455340675
100,7,40,0.6674340729630343,4.89252042959875,-0.07113315865465669
114,7,54,0.6660116276739075,4.83358570896011,-0.07743856793370689
273,11,53,0.6659019407546424,4.572988191955831,-0.07664487577405248
278,11,58,0.6616449337893743,4.746324333805068,-0.10661909554532732
497,17,37,0.6587352639462115,5.08415358105522,-0.08036923099272063
115,7,55,0.6505950406508191,4.863038875430235,-0.08047734767445973
66,6,46,0.6396029788007335,4.813275766458915,-0.07023008733081854
61,6,41,0.6386060206733616,4.771291772163787,-0.0829093425991862
319,12,59,0.6340212452644749,4.775687523692343,-0.11597333686603771
421,15,41,0.6336411323671236,4.685056394973083,-0.09144484699248336
68,6,48,0.6314328035513931,4.827289057982431,-0.07168017247413898
434,15,54,0.6297329988279153,4.327297051568254,-0.10877307659472996
263,11,43,0.625438639742501,4.9297729672539905,-0.09484512628695375
70,6,50,0.6241084325558267,4.838495925388517,-0.07297621918116967
33,5,53,0.6088278677776147,4.222138050554327,-0.10026573186082428
193,9,53,0.6058908891064146,4.8458916043589735,-0.09505975206567259
387,14,47,0.6044070302023243,4.625941582017223,-0.0888386216677124
231,10,51,0.6041892086970162,4.830632834882155,-0.09805947055629145
121,8,21,0.5845421622851072,4.316452255966462,-0.13750982879975632
347,13,47,0.5843987361390958,4.625941582017223,-0.09383810346881942
356,13,56,0.5805578756582097,4.592286214190542,-0.12914626538454665
474,16,54,0.5759369584914914,4.7187290986533545,-0.10843602008197772
312,12,52,0.5735638420093362,4.883978240266239,-0.09604417280930691
192,9,52,0.5728113817430466,4.752969402241899,-0.10164359002734508
96,7,36,0.5709121537645766,4.778752908346833,-0.08648782969005657
17,5,37,0.5699734088843914,4.831682938465828,-0.10780998520411296
382,14,42,0.5698879792976363,5.178857042702026,-0.10506036569150456
318,12,58,0.5665041736516446,4.746324333805068,-0.13193329256180647
385,14,45,0.5657930322208504,4.667991899429163,-0.09738862239708465
314,12,54,0.5627704539254726,4.5607981767774355,-0.11939349518663937
316,12,56,0.5608089364333053,4.592286214190542,-0.13558730015730633
357,13,57,0.5575644608647455,4.64655011054748,-0.1345029897605154
23,5,43,0.5556553873866663,4.924005625139624,-0.1163799917373637
376,14,36,0.553389853259084,4.5074628239721,-0.10632569290964757
315,12,55,0.5475799110208268,4.58997399330156,-0.12265710672363908
223,10,43,0.5448260270517216,5.182763370932767,-0.1078374518812263
338,13,38,0.5417323485834928,4.9153039163962555,-0.10871732608087613
261,11,41,0.5417170045592894,4.748132605907375,-0.1079166599646816
435,15,55,0.5415052534836959,4.43908220837198,-0.12875800768581064
349,13,49,0.5413543908079077,4.679326573560408,-0.10200937992227449
342,13,42,0.5386656158867134,5.178857042702026,-0.10556499815805874
317,12,57,0.5378200363846585,4.64655011054748,-0.14093454791785526
28,5,48,0.5365612578382759,4.501461622038667,-0.12036248326964698
422,15,42,0.5358254319184105,4.735267499804494,-0.13518270517014086
15,5,35,0.5292484179664644,4.406513185427815,-0.1154730041463884
388,14,48,0.5235954498493461,5.02796091776219,-0.10420995798515562
554,18,54,0.5180240182522212,4.9208498388937025,-0.11550679085625624
344,13,44,0.515014226677714,5.315950603387609,-0.10739422585627373
113,7,53,0.5107766401801711,4.8458916043589735,-0.11212896497051053
153,8,53,0.5107766401801711,4.8458916043589735,-0.11212896497051053
71,6,51,0.507791258525924,4.434235107193345,-0.11711570357435323
386,14,46,0.5045529670056319,4.776944375867606,-0.10758252853245995
537,18,37,0.5016444759750737,5.08415358105522,-0.13083832142281474
190,9,50,0.5004516634198123,4.980981466888348,-0.11571074262877144
559,18,59,0.4999467415056533,5.0750368909138865,-0.14474264158352282
473,16,53,0.49586776596406146,4.731654473926378,-0.12470606692364426
339,13,39,0.49438359504162366,4.911702884084169,-0.11369398631288365
103,7,43,0.4915710167849613,4.871063216752776,-0.12026636601521147
346,13,46,0.4845645320074152,4.776944375867606,-0.11256298688606148
279,11,59,0.4843462521521368,4.775687523692343,-0.16665297457919803
423,15,43,0.4827640451461079,4.876305172724317,-0.14690529997747262
348,13,48,0.47856550222600514,4.787253669031227,-0.1136630758849469
303,12,43,0.47839308777398104,5.505764026914258,-0.11011867299444449
195,9,55,0.47616991427582134,4.863038875430235,-0.11968614897857625
519,17,59,0.4760571225160414,4.636640954393552,-0.18295130433022674
297,12,37,0.47006365503277725,4.877443107703579,-0.1299157620031886
472,16,52,0.4668080398771266,4.631763209529643,-0.13046257132099093
230,10,50,0.45834137411321085,4.980981466888348,-0.12683059092270754
101,7,41,0.4536170042356771,5.269442784852648,-0.10976093533749326
354,13,54,0.4508054822604801,4.408045494382801,-0.158666491210642
183,9,43,0.4486958137582682,5.276866221878321,-0.12627459811598254
234,10,54,0.44754446490435007,4.83358570896011,-0.12834568556903678
229,10,49,0.447313390719113,4.995739870206744,-0.129116115131378
260,11,40,0.44213902388846565,4.908206684352815,-0.12691634815006417
301,12,41,0.44094391468729655,4.748132605907375,-0.13497396769391456
152,8,52,0.4387465979358481,4.752969402241899,-0.12853717535314502
267,11,47,0.43767670219261173,5.268939289507805,-0.1198664227067152
307,12,47,0.43767670219261173,5.268939289507805,-0.1198664227067152
553,18,53,0.43723610776584054,4.935060610338054,-0.13107956782349547
355,13,55,0.43458044535994844,4.43908220837198,-0.16220112429237737
543,18,43,0.4334268572109519,5.312368266585045,-0.13408985646466706
391,14,51,0.43307690263752463,4.755475422209401,-0.14472513464793604
235,10,55,0.43216133523168593,4.863038875430235,-0.13124986685433862
353,13,53,0.4304259210251713,4.7857043052554085,-0.14525704817757945
304,12,44,0.4303517099674354,5.502646198861365,-0.12117471067862834
191,9,51,0.4282044074084901,5.100841859846766,-0.12931543389647915
24,5,44,0.42796308624183776,4.921368337794718,-0.14233625486226878
32,5,52,0.4263816887346979,4.156566483772854,-0.14819073647062259
120,8,20,0.4241901328704308,4.77121256923888,-0.16377798588261952
256,11,36,0.4238581610292431,4.824708687786186,-0.14003679438858507
305,12,45,0.42002849831831135,5.309115173315349,-0.12301177829330377
184,9,44,0.4174576015678234,5.17960220218841,-0.13209994435244574
552,18,52,0.41685590955822077,4.820492982426746,-0.13492028046432503
542,18,42,0.41631296520601224,5.159824917655791,-0.13129946793416963
337,13,37,0.4157435289267212,4.877443107703579,-0.14513010109413252
27,5,47,0.41442070407078874,4.722133594849071,-0.14499836228278862
185,9,45,0.40831784945832883,4.983380916524663,-0.13378940271930193
187,9,47,0.4035885486493261,4.942747812793834,-0.13507252057131414
456,16,36,0.4014046826764075,5.040341727538238,-0.12863772517183947
25,5,45,0.3996108077632925,4.757665620434922,-0.14789044715078675
393,14,53,0.3988510938157161,4.340275526532888,-0.17438557787677872
14,5,34,0.39767110612916295,4.633291357892638,-0.1409804290079666
395,14,55,0.3949759195221208,4.43908220837198,-0.17508911955287412
224,10,44,0.39489825943907964,5.17960220218841,-0.13667254840454535
269,11,49,0.3948521393300364,5.32169587183361,-0.1274593596529219
514,17,54,0.39070552330434877,5.148934881879655,-0.13974646770181764
458,16,38,0.37358195633830443,5.295350176788485,-0.13385940040353714
515,17,55,0.37266045589618496,5.182865623205365,-0.14307902730936659
522,18,22,0.3698084828141973,5.96791764983187,-0.11781235365986056
147,8,47,0.3690727498887397,5.037088870937733,-0.13789350106562698
233,10,53,0.3679287368113967,4.8458916043589735,-0.1431663117653622
257,11,37,0.36441595056966164,4.974851302058866,-0.1512417985011542
104,7,44,0.3639600942629215,4.868424460852712,-0.14427728400231865
112,7,52,0.36351264465724115,4.752969402241899,-0.14981256235683524
461,16,41,0.36195398465885403,4.685056394973083,-0.1690526652225812
189,9,49,0.3607471717294429,4.995739870206744,-0.14290233370757982
227,10,47,0.3590972662748554,4.942747812793834,-0.14687440283214734
145,8,45,0.351250890602901,5.077681647708614,-0.1410686497209811
182,9,42,0.3499750804589625,5.142009098383245,-0.14506500546985485
299,12,39,0.34538805520906307,4.911702884084169,-0.15310961450146568
271,11,51,0.34507064219345523,5.157054181796513,-0.1355918911518897
300,12,40,0.3414657411522161,4.908206684352815,-0.1538375076059755
225,10,45,0.34127717826833653,4.983380916524663,-0.1501391090560227
306,12,46,0.3389558578724743,5.417269756064066,-0.13717121265927718
151,8,51,0.3378056267043415,5.0262583155497005,-0.1470360990095471
177,9,37,0.3329048317733763,5.397667140345739,-0.1537191121062587
341,13,41,0.3326373097855581,5.12887974024905,-0.14330021290341372
268,11,48,0.33243291257052526,5.428420149231854,-0.13829020833607097
50,6,30,0.3306428810436931,4.77121256923888,-0.15184475466589684
221,10,41,0.32918908925022533,5.0939983433495915,-0.14505533313068625
258,11,38,0.32835449097384006,5.012673340210355,-0.14656744308309644
427,15,47,0.32205579092134,4.86705664367397,-0.16643967961783004
311,12,51,0.3204177200023451,5.157054181796513,-0.1416932754727889
26,5,46,0.3186707868276724,4.866250335478442,-0.16335118041719882
56,6,36,0.3178507898364058,4.703961945379542,-0.15244070660010817
13,5,33,0.31758020203600484,4.77121256923888,-0.15578642632152848
378,14,38,0.3107429412698023,5.295350176788485,-0.15124494323575702
513,17,53,0.31001994068672745,5.163111563153755,-0.15444607202956384
136,8,36,0.308777943388475,5.300246995360423,-0.12804454127885864
29,5,49,0.30859050038229857,4.855710317071629,-0.16523677047983312
186,9,46,0.30470797349523143,5.09192061060101,-0.15292875811991394
217,10,37,0.3013368996921428,5.397667140345739,-0.16233307964658994
298,12,38,0.3009401239059308,4.9153039163962555,-0.1620075018681017
188,9,48,0.29829360446515674,5.102926880835788,-0.1540611761732363
135,8,35,0.2894369974574151,5.277388994324865,-0.13110534887202832
551,18,51,0.2886748709119021,5.091514007963336,-0.1608298091905277
390,14,50,0.28736470665679853,4.906136113696149,-0.1729967227060873
84,7,24,0.2870219160135487,4.77121256923888,-0.20943311644017917
467,16,47,0.28249563710721576,4.86705664367397,-0.1779319758120709
536,18,36,0.28112011746681853,5.314786968652916,-0.14827084928040452
392,14,52,0.28073934525003036,4.48206471762243,-0.1944930883632164
425,15,45,0.2793233866653397,4.667991899429163,-0.17419681730263617
389,14,49,0.2791237133023258,4.920306672673483,-0.17453896871334715
302,12,42,0.27502660680896135,5.37262370294341,-0.16646637636199837
336,13,36,0.27331589758277364,4.727146585532264,-0.17220438272570426
232,10,52,0.2711073218512045,4.881534482841133,-0.16051228317111293
146,8,46,0.2702261669662678,5.186113619866272,-0.155208448402182
433,15,53,0.2701899521394715,4.582112780258651,-0.20140985968587813
149,8,49,0.26722930133437933,5.090028335553623,-0.15950200657485789
556,18,56,0.2660647208818453,4.861015706471767,-0.2196773915957714
460,16,40,0.26524987572810144,4.840596614123759,-0.18815125331713192
111,7,51,0.26264728357192935,5.0262583155497005,-0.16828854497129195
284,12,24,0.2613325718226826,5.518258709174289,-0.13642193009712883
226,10,46,0.26026050751870716,5.09192061060101,-0.16466630040064548
215,10,35,0.2595436921688449,5.721908218847369,-0.13654217877930283
58,6,38,0.2591160383516619,4.938522277003664,-0.16283249365221572
21,5,41,0.2587267334859169,4.771291772163787,-0.16188635237583343
181,9,41,0.25352861156005785,5.0939983433495915,-0.15278887880194322
432,15,52,0.241195483814823,4.48206471762243,-0.20723847986913604
429,15,49,0.23958048896180162,4.920306672673483,-0.18599752560179497
557,18,57,0.23778752074500673,4.924339263987809,-0.2256485432097181
381,14,41,0.23638900762862924,5.12887974024905,-0.16833033880417617
59,6,39,0.23532479863019742,4.935464545176913,-0.15962589956280573
296,12,36,0.23337121464021954,4.824708687786186,-0.17416519755711762
558,18,58,0.23142403406519085,5.040771352157698,-0.22697952647628378
22,5,42,0.23069091411478454,5.132859111129281,-0.1715562665141669
123,8,23,0.22975609417444326,4.656446701862995,-0.23971797362736463
496,17,36,0.22806574300760102,5.371485367684814,-0.15878484331038417
148,8,48,0.22491518551788744,5.197108966755827,-0.1663284683064754
512,17,52,0.22430132181860823,5.0488187711270145,-0.17565527138241618
60,6,40,0.2235686757727606,4.94545089633498,-0.16159754320225364
415,15,35,0.22230522577646708,5.214959962645633,-0.16377551283960085
259,11,39,0.22101923192543416,5.009075995457432,-0.16513533593129157
394,14,54,0.21981858764978474,4.772786263103898,-0.21139204817027127
16,5,36,0.21474284090974902,5.004336489085401,-0.17405198311616712
51,6,31,0.20925622578072028,4.77121256923888,-0.18521008105478232
334,13,34,0.20873990511224974,5.064538810679398,-0.18410498742160164
143,8,43,0.2062984491451944,5.276866221878321,-0.1790604248224087
379,14,39,0.20352999912220557,5.291586176585105,-0.16977621686971558
270,11,50,0.1996264942530408,5.306839081656318,-0.15986042669543077
289,12,29,0.19785690358277708,5.4801590987566025,-0.15185948353591222
122,8,22,0.19772346540945562,4.71169850296776,-0.24655474590299528
418,15,38,0.19753348986685715,5.295350176788485,-0.17990072073689922
218,10,38,0.19282440560749226,5.260556120759508,-0.16907954192954475
176,9,36,0.19145521280700986,5.246716757320544,-0.17887581183058682
266,11,46,0.19001475881353017,5.417269756064066,-0.17515709232276477
87,7,27,0.18824987198416637,4.77121256923888,-0.1939501035893353
545,18,45,0.18700785235424708,5.324454416846522,-0.17871081101919536
466,16,46,0.18296108437274322,5.017677687512303,-0.1963954789002374
216,10,36,0.1824360746850586,5.246716757320544,-0.18130634061139198
